,Usage,Image name,neutral,happiness,surprise,sadness,anger,disgust,fear,contempt
0,train,fer0000000.png,0.4,0.0,0.0,0.1,0.3,0.2,0.0,0.0
1,train,fer0000001.png,0.75,0.0,0.125,0.125,0.0,0.0,0.0,0.0
2,train,fer0000002.png,0.5555555555555556,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0
3,train,fer0000003.png,0.4444444444444444,0.0,0.0,0.4444444444444444,0.1111111111111111,0.0,0.0,0.0
4,train,fer0000004.png,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0
5,train,fer0000005.png,0.6666666666666666,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111
6,train,fer0000006.png,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0
7,train,fer0000007.png,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,train,fer0000008.png,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,train,fer0000009.png,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0
10,train,fer0000010.png,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0
11,train,fer0000011.png,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,train,fer0000012.png,0.625,0.0,0.0,0.375,0.0,0.0,0.0,0.0
13,train,fer0000013.png,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0
14,train,fer0000014.png,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,train,fer0000015.png,0.0,0.0,0.6,0.0,0.1,0.0,0.3,0.0
16,train,fer0000016.png,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0
18,train,fer0000018.png,0.1111111111111111,0.0,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.0,0.0,0.0
19,train,fer0000019.png,0.6,0.1,0.0,0.0,0.3,0.0,0.0,0.0
20,train,fer0000020.png,0.5555555555555556,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0
21,train,fer0000021.png,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.5555555555555556,0.0
22,train,fer0000022.png,0.1,0.0,0.1,0.1,0.7,0.0,0.0,0.0
24,train,fer0000024.png,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.1
25,train,fer0000025.png,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,train,fer0000026.png,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0
27,train,fer0000027.png,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0
28,train,fer0000028.png,0.1,0.7,0.0,0.0,0.0,0.2,0.0,0.0
29,train,fer0000029.png,0.0,0.1,0.6,0.0,0.0,0.0,0.3,0.0
30,train,fer0000030.png,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0
31,train,fer0000031.png,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,train,fer0000032.png,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,train,fer0000033.png,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,train,fer0000034.png,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,train,fer0000035.png,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1
36,train,fer0000036.png,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
37,train,fer0000037.png,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
